Estado/Municípios,Nº do decreto,Início,Fim,Classificação,Politicas
Niterói/RJ,13511,18/03/2020,,Outros,dispõe sobre a inclusão de equipamentos públicos municipais fechados temporariamente pelo decreto Nº13507
Niterói/RJ,13517,19/03/2020,,Medidas de Prevenção,dispõe sobre novas medidas para o enfrentamento e combate à disseminação do coronavírus no município de Niterói e dá outras providências
Niterói/RJ,13516,19/03/2020,,Flexibilização de funcionamento dos comércios,dispõe sobre o aumento das restrições ao funcionamento de estabelecimentos
Niterói/RJ,13513,19/03/2020,,Fechamento de comércio,"dispõe sobre o fechamento de bares, restaurantes, shoppings centers, centros comerciais, clubes e quiosques bem como sobre a permanência em praias e praças e fechamento de acesso às praias da região oceânica"
Niterói/RJ,13520,20/03/2020,,Outros,dispõe sobre a requisição administrativa do Hospital Oceânico LTDA
Niterói/RJ,13521,21/03/2020,,Medidas de Prevenção,dispõe sobre novas medidas para o enfrentamento e combate da disseminação do coronavírus no município de Niterói
Niterói/RJ,13521,21/03/2020,,Medidas de Prevenção,dispõe sobre novas medidas de combate e disseminação do coronavírus
Niterói/RJ,13565,23/03/2020,,Medidas de Prevenção,dispõe sobre a prorrogação das medidas restritivas de isolamento para redução da transmissão do novo coronavírus
Niterói/RJ,13528,28/03/2020,,Flexibilização de funcionamento dos comércios,dispõe sobre a abertura de oficinas mecânicas e lojas de material de construção de 30 de março a 3 de abril de 2020.
Niterói/RJ,13530,31/03/2020,,Outros,"suspende os efeitos do decreto municipal nº11356/2013, tendo em vista o estado de emergência em saúde pública decorrente da pandemia do coronavírus(covid-19)"
Niterói/RJ,13534,01/04/2020,18/04/2020,Circulação de Acesso,dispõe sobre a redução da circulação nos acessos de Niterói com municípios vizinhos por quatorze dias a partir do dia 04/04/20
Niterói/RJ,13533,01/04/2020,,Suspensão de aulas,"dispõe sobre a suspensão das aulas nas instituições educacionais que integram o sistema municipal de ensino de Niterói, em razão da epidemia provocada pelo novo coronavírus"
Niterói/RJ,13536,03/04/2020,,Medidas de Prevenção,dispõe sobre novas medidas de combate à disseminação do coronavírus
Niterói/RJ,13541,06/04/2020,,Cestas Básica,regulamenta a renda básica temporária instituída pela lei nº 3480 elaborada no contexto do enfrentamento aos efeitos econômicos do covid-19
Niterói/RJ,13543,08/04/2020,,Outros,dispõe sobre a liberação de atividade comercial em municípios sem notificação de cometimento do coronavírus
Niterói/RJ,13548,10/04/2020,,Outros,"dispõe sobre os procedimentos para contratações emergenciais e urgentes para a aquisição de bens, insumos e serviços, inclusive de engenharia, para a contenção e o enfrentamento da pandemia causada pelo coronavírus"
Niterói/RJ,13547,10/04/2020,,Medidas de Prevenção,dispõe sobre a prorrogação das medidas restritivas de isolamento para redução da transmissão do novo coronavírus
Niterói/RJ,13549,10/04/2020,,Medidas de Prevenção,dispõe sobre novas medidas de prevenção para o enfrentamento da pandemia do covid-19
Niterói/RJ,13550,11/04/2020,,Flexibilização de funcionamento dos comércios,dispõe sobre a abertura excepcional de estabelecimentos nos períodos que especifica e dá outras providências
Niterói/RJ,13551,11/04/2020,,Circulação de Acesso,dispõe sobre a redução da circulação nos acessos de Niterói com municípios vizinhos
Niterói/RJ,13554,14/04/2020,,Auxílio Emergencial,"regulamenta a lei municipal nº3486/2020 que dispõe sobre a concessão de auxílio emergencial aos permissionários do serviço de táxi e seus auxiliares, bem como aos prestadores de serviço de transporte escolar em virtude dos impactos sociais e econômicos da pandemia do covid-19"
Niterói/RJ,13553,14/04/2020,,Outros,dispõe sobre a necessidade de se adotar providências referentes ao controle interno e externo nos contratos e convênios celebrados pela Administração durante o Estado de Emergência em saúde Pública ocasionado pela pandemia de coronavírus
Niterói/RJ,13562,18/04/2020,,Medidas de Prevenção,dispõe sobre a prorrogação das medidas restritivas de isolamento para redução da transmissão do novo coronavírus
Niterói/RJ,13564,21/04/2020,,Fundo de Crédito Emergencial,Regulamenta o Fundo de Crédito Emergencial do Município de Niterói
Niterói/RJ,13568,22/04/2020,,Circulação de Acesso,dispõe sobre a redução da circulação nos acessos de Niterói com municípios vizinhos
Niterói/RJ,13566,22/04/2020,,Uso de Máscara,dispõe sobre a obrigatoriedade do uso de máscaras de proteção facial e dá outras providências
Niterói/RJ,13568,22/04/2020,,Circulação de Acesso,dispõe sobre a redução da circulação nos acessos de Niterói com municípios vizinhos
